[2026-02-09 14:46:16] [INFO    ] [Worker-1] Worker-1 OCR completed in 7.16s | fname=0001_1700000445_2025_01.PDF
[2026-02-09 14:46:16] [INFO    ] [Worker-1] Worker-1 extracted 30 lines from 2 page(s) | fname=0001_1700000445_2025_01.PDF
[2026-02-09 14:46:16] [INFO    ] [Worker-1] Worker-1 output written to ./ocr_output/0001_1700000445_2025_01.PDF.txt (0.0001s) | fname=0001_1700000445_2025_01.PDF
[2026-02-09 14:46:16] [INFO    ] [Worker-1] Worker-1 completed (OCR=7.16s, total=7.16s) | fname=0001_1700000445_2025_01.PDF
[2026-02-09 14:46:16] [DEBUG   ] [Worker-1] Worker-1 waiting for next task from queue | fname=QUEUE_WAIT
[2026-02-09 14:46:16] [INFO    ] [Worker-1] Worker-1 picked up task | fname=0001_1700000446_2025_01.PDF
[2026-02-09 14:46:16] [INFO    ] [Worker-1] Worker-1 starting OCR (0.25 MB) | fname=0001_1700000446_2025_01.PDF
[2026-02-09 14:46:16] [DEBUG   ] [MainProcess] File enqueued successfully (12/20) | fname=0001_1700000451_2025_01.PDF
[2026-02-09 14:46:16] [DEBUG   ] [MainProcess] Putting file 13/20 into queue | fname=0001_1700000452_2025_01.PDF
[2026-02-09 14:46:17] [INFO    ] [Worker-0] Worker-0 OCR completed in 8.84s | fname=0001_1700000356_2025_02.PDF
[2026-02-09 14:46:17] [INFO    ] [Worker-0] Worker-0 extracted 30 lines from 2 page(s) | fname=0001_1700000356_2025_02.PDF
[2026-02-09 14:46:17] [INFO    ] [Worker-0] Worker-0 output written to ./ocr_output/0001_1700000356_2025_02.PDF.txt (0.0001s) | fname=0001_1700000356_2025_02.PDF
[2026-02-09 14:46:17] [INFO    ] [Worker-0] Worker-0 completed (OCR=8.84s, total=8.84s) | fname=0001_1700000356_2025_02.PDF
[2026-02-09 14:46:17] [DEBUG   ] [Worker-0] Worker-0 waiting for next task from queue | fname=QUEUE_WAIT
[2026-02-09 14:46:17] [INFO    ] [Worker-0] Worker-0 picked up task | fname=0001_1700000447_2025_01.PDF
[2026-02-09 14:46:17] [INFO    ] [Worker-0] Worker-0 starting OCR (0.08 MB) | fname=0001_1700000447_2025_01.PDF
[2026-02-09 14:46:17] [DEBUG   ] [MainProcess] File enqueued successfully (13/20) | fname=0001_1700000452_2025_01.PDF
[2026-02-09 14:46:17] [DEBUG   ] [MainProcess] Putting file 14/20 into queue | fname=0001_1700000454_2025_01.PDF
[2026-02-09 14:46:21] [INFO    ] [Worker-0] Worker-0 OCR completed in 4.87s | fname=0001_1700000447_2025_01.PDF
[2026-02-09 14:46:21] [INFO    ] [Worker-0] Worker-0 extracted 15 lines from 1 page(s) | fname=0001_1700000447_2025_01.PDF
[2026-02-09 14:46:21] [INFO    ] [Worker-0] Worker-0 output written to ./ocr_output/0001_1700000447_2025_01.PDF.txt (0.0003s) | fname=0001_1700000447_2025_01.PDF
[2026-02-09 14:46:21] [INFO    ] [Worker-0] Worker-0 completed (OCR=4.87s, total=4.87s) | fname=0001_1700000447_2025_01.PDF
[2026-02-09 14:46:21] [DEBUG   ] [Worker-0] Worker-0 waiting for next task from queue | fname=QUEUE_WAIT
[2026-02-09 14:46:21] [INFO    ] [Worker-0] Worker-0 picked up task | fname=0001_1700000448_2025_01.PDF
[2026-02-09 14:46:21] [DEBUG   ] [MainProcess] File enqueued successfully (14/20) | fname=0001_1700000454_2025_01.PDF
[2026-02-09 14:46:21] [INFO    ] [Worker-0] Worker-0 starting OCR (0.76 MB) | fname=0001_1700000448_2025_01.PDF
[2026-02-09 14:46:21] [DEBUG   ] [MainProcess] Putting file 15/20 into queue | fname=0001_1700000455_2025_01.PDF
[2026-02-09 14:46:27] [INFO    ] [Worker-1] Worker-1 OCR completed in 10.63s | fname=0001_1700000446_2025_01.PDF
[2026-02-09 14:46:27] [INFO    ] [Worker-1] Worker-1 extracted 30 lines from 2 page(s) | fname=0001_1700000446_2025_01.PDF
[2026-02-09 14:46:27] [INFO    ] [Worker-1] Worker-1 output written to ./ocr_output/0001_1700000446_2025_01.PDF.txt (0.0001s) | fname=0001_1700000446_2025_01.PDF
[2026-02-09 14:46:27] [INFO    ] [Worker-1] Worker-1 completed (OCR=10.63s, total=10.63s) | fname=0001_1700000446_2025_01.PDF
