[2026-02-10 10:01:57] [INFO    ] [Worker-4] Worker-4 output written to ./ocr_output/0001_1700000448_2025_01.PDF.txt (0.0003s) | fname=0001_1700000448_2025_01.PDF
[2026-02-10 10:01:57] [INFO    ] [Worker-4] Worker-4 completed (OCR=34.77s, total=34.77s) | fname=0001_1700000448_2025_01.PDF
[2026-02-10 10:01:57] [DEBUG   ] [Worker-4] Worker-4 waiting for next task from queue | fname=QUEUE_WAIT
[2026-02-10 10:01:57] [INFO    ] [Worker-4] Worker-4 received sentinel. Shutting down. | fname=SENTINEL
[2026-02-10 10:01:57] [INFO    ] [Worker-4] Worker-4 summary — processed=1, failed=0, total_ocr_time=34.77s, avg_ocr_per_file=34.77s, model_init_time=7.66s | fname=SUMMARY
[2026-02-10 10:01:57] [INFO    ] [Worker-4] Worker-4 exiting | fname=SHUTDOWN
[2026-02-10 10:01:59] [INFO    ] [Worker-2] Worker-2 OCR completed in 12.93s | fname=0038_1700000012_2025_01.PDF
[2026-02-10 10:01:59] [INFO    ] [Worker-2] Worker-2 extracted 15 lines from 1 page(s) | fname=0038_1700000012_2025_01.PDF
[2026-02-10 10:01:59] [INFO    ] [Worker-2] Worker-2 output written to ./ocr_output/0038_1700000012_2025_01.PDF.txt (0.0001s) | fname=0038_1700000012_2025_01.PDF
[2026-02-10 10:01:59] [INFO    ] [Worker-2] Worker-2 completed (OCR=12.93s, total=12.93s) | fname=0038_1700000012_2025_01.PDF
[2026-02-10 10:01:59] [DEBUG   ] [Worker-2] Worker-2 waiting for next task from queue | fname=QUEUE_WAIT
[2026-02-10 10:01:59] [INFO    ] [Worker-2] Worker-2 received sentinel. Shutting down. | fname=SENTINEL
[2026-02-10 10:01:59] [INFO    ] [Worker-2] Worker-2 summary — processed=3, failed=0, total_ocr_time=36.73s, avg_ocr_per_file=12.24s, model_init_time=7.32s | fname=SUMMARY
[2026-02-10 10:01:59] [INFO    ] [Worker-2] Worker-2 exiting | fname=SHUTDOWN
[2026-02-10 10:02:02] [INFO    ] [Worker-3] Worker-3 OCR completed in 21.42s | fname=0001_1700000455_2025_01.PDF
[2026-02-10 10:02:02] [INFO    ] [Worker-3] Worker-3 extracted 30 lines from 2 page(s) | fname=0001_1700000455_2025_01.PDF
[2026-02-10 10:02:02] [INFO    ] [Worker-3] Worker-3 output written to ./ocr_output/0001_1700000455_2025_01.PDF.txt (0.0002s) | fname=0001_1700000455_2025_01.PDF
[2026-02-10 10:02:02] [INFO    ] [Worker-3] Worker-3 completed (OCR=21.42s, total=21.42s) | fname=0001_1700000455_2025_01.PDF
[2026-02-10 10:02:02] [DEBUG   ] [Worker-3] Worker-3 waiting for next task from queue | fname=QUEUE_WAIT
[2026-02-10 10:02:02] [INFO    ] [Worker-3] Worker-3 received sentinel. Shutting down. | fname=SENTINEL
[2026-02-10 10:02:02] [INFO    ] [Worker-3] Worker-3 summary — processed=2, failed=0, total_ocr_time=39.65s, avg_ocr_per_file=19.83s, model_init_time=7.39s | fname=SUMMARY
[2026-02-10 10:02:02] [INFO    ] [Worker-3] Worker-3 exiting | fname=SHUTDOWN
[2026-02-10 10:02:04] [INFO    ] [Worker-0] Worker-0 OCR completed in 40.78s | fname=0001_1700000449_2025_01.PDF
[2026-02-10 10:02:04] [INFO    ] [Worker-0] Worker-0 extracted 75 lines from 5 page(s) | fname=0001_1700000449_2025_01.PDF
[2026-02-10 10:02:04] [INFO    ] [Worker-0] Worker-0 output written to ./ocr_output/0001_1700000449_2025_01.PDF.txt (0.0001s) | fname=0001_1700000449_2025_01.PDF
[2026-02-10 10:02:04] [INFO    ] [Worker-0] Worker-0 completed (OCR=40.78s, total=40.78s) | fname=0001_1700000449_2025_01.PDF
[2026-02-10 10:02:04] [DEBUG   ] [Worker-0] Worker-0 waiting for next task from queue | fname=QUEUE_WAIT
[2026-02-10 10:02:04] [INFO    ] [Worker-0] Worker-0 received sentinel. Shutting down. | fname=SENTINEL
[2026-02-10 10:02:04] [INFO    ] [Worker-0] Worker-0 summary — processed=1, failed=0, total_ocr_time=40.78s, avg_ocr_per_file=40.78s, model_init_time=8.80s | fname=SUMMARY
[2026-02-10 10:02:04] [INFO    ] [Worker-0] Worker-0 exiting | fname=SHUTDOWN
[2026-02-10 10:02:04] [INFO    ] [MainProcess] Worker Worker-0 (PID=59417) joined — OK | fname=SHUTDOWN
[2026-02-10 10:02:04] [INFO    ] [MainProcess] Worker Worker-1 (PID=59418) joined — OK | fname=SHUTDOWN
[2026-02-10 10:02:04] [INFO    ] [MainProcess] Worker Worker-2 (PID=59419) joined — OK | fname=SHUTDOWN
[2026-02-10 10:02:04] [INFO    ] [MainProcess] Worker Worker-3 (PID=59420) joined — OK | fname=SHUTDOWN
[2026-02-10 10:02:04] [INFO    ] [MainProcess] Worker Worker-4 (PID=59421) joined — OK | fname=SHUTDOWN
[2026-02-10 10:02:04] [INFO    ] [MainProcess] ========== OCR Pipeline Complete ========== | fname=DONE
[2026-02-10 10:02:04] [INFO    ] [MainProcess] Total files processed : 10 | fname=DONE
[2026-02-10 10:02:04] [INFO    ] [MainProcess] Total wall-clock time : 50.04s | fname=DONE
[2026-02-10 10:02:04] [INFO    ] [MainProcess] Average time per file : 5.00s | fname=DONE
[2026-02-10 10:02:04] [INFO    ] [MainProcess] Log saved to          : ./logs/ocr_run_20260210_100114.log | fname=DONE
